Solvent,CAS,dD,dP,dH,NFPA Health,NFPA Flame,GHS Hazards,Glove Type,SDS Link,Lab Scale Cost Est. ($/g),Bulk Cost Est. ($/lb),Melting Point (C),Boiling Point (C),Molecular Weight,Molar Volume,Density (g/L),Viscosity (cP),Refractive Index,Vapor Pressure (mmHg),Flash Point (C),Water Solubility (g/L),RER (HSP),Formula,CHO
3-Methyl-2-Butanethiol,2084-18-6,15.92,3.83,3.74,0,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,3.8,399.16,-,109,104.21,123.912,0.841,-,1.444,36.7 mmHg at 25 C,15.56,-,224.3,C5H12S,False
3-Methyl-2-Pentanol,565-60-6,15.74,4.26,9.81,0,2,"Flammable liquids (Category 3), Eye ir...",Unknown,SDS Source,11.4,745.25,-,134.3,102.18,123.108,0.83,-,1.42,-,40,19.03,22,C6H14O,True
3-Methyl-2-Pentanone,565-61-7,15.66,5.4,3.69,0,3,Flammable liquids (Category 2),Unknown,SDS Source,6.19,-,-66,118,100.16,122.896,0.815,-,1.4002,-,12,-,140.5,C6H12O,True
3-Methyl-3-Pentanol,77-74-7,15.95,3.9,8.78,1,3,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,1.82,222.26,-23.6,126,102.17,123.096,0.83,-,1.4182,-,24,-,49.6,C6H14O,True
3-Methylfuran,930-27-8,17.4,5.23,5.6,3,3,"Flammable liquids (Category 2), Acute ...",Unknown,SDS Source,177.9,-,-,65,82.1,89.2391,0.92,-,1.4315,-,-22,-,524.7,C5H6O,True
3-Methylpent-1-En-4-Yn-3-ol,3230-69-1,16.8,5.19,10.48,1,3,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,7.68,707.15,-,119,96.13,108.011,0.89,-,1.4444,-,32.2,-,-,C6H8O,True
3-Methylpent-3-En-2-One,565-62-8,16.53,6.23,4.74,2,3,"Flammable liquids (Category 3), Acute ...",Nitrile,SDS Source,1.84,304.81,-70,136,98.15,112.171,0.875,-,1.449,23.2 hPa at 38 C,34,-,-,C6H10O,True
3-Methylthiophene,616-44-4,18.38,3.46,5.98,1,3,"Flammable liquids (Category 2), Acute ...",Unknown,SDS Source,0.79,-,-69,115.5,98.17,96.624,1.016,0.67,1.5205,42.4 mmHg at 37.7 C,12,Not Soluble,206.8,C5H6S,False
3-Nonen-2-One,14309-57-0,16.56,4.86,3.95,2,2,Flammable liquids (Category 4),Unknown,SDS Source,1.38,169.64,-,198,140.23,164.976,0.85,-,1.448,0.301 mmHg at 25 C,81,-,8.6,C9H16O,True
3-Octanol,589-98-0,15.96,4.13,8.9,2,2,"Flammable liquids (Category 4), Skin i...",Nitrile,SDS Source,0.5,141.86,-45,174,130.23,157.855,0.825,-,1.427,-,67,-,8,C8H18O,True
3-Phenyl-1-Propanol,122-97-4,18.17,5.13,10.52,2,1,None,Latex/ Chloroprene,SDS Source,0.12,26.66,-18,235,136.19,136.054,1.001,20,1.5259,0.5 hPa at 20 C,120,Not Soluble,0.5,C9H12O,True
3-Phenylpentane,1196-58-3,16.89,1.57,2.31,1,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,360.33,-,-65,187.5,148.25,169.584,0.8742,-,1.4882,-,68.3,-,7.5,C11H16,True
3-Thiohexanol,51755-83-0,17.01,6.47,11.56,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,15.64,-,-,250,134.23,138.381,0.97,-,1.479,-,100,-,1.2,C6H14OS,False
3S-Hydroxy butyrolactone,7331-52-4,17.16,15.34,15,0,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,49.2,312.98,1.24,310.3,102.09,82.2643,1.241,-,1.464,-,157,-,-,C4H6O3,True
"4,4-Dimethyl-2-Pentanone",590-50-1,15.3,4.81,3.23,0,3,Flammable liquids (Category 2),Unknown,SDS Source,17.27,3175.14,-64,125,114.19,141.15,0.809,-,1.404,-,19,-,82.6,C7H14O,True
4-Acetyl Pyridine,1122-54-9,19.17,10.12,6.26,2,1,"Skin irritation (Category 2), Eye irri...",Chloroprene/ Fluori,SDS Source,0.68,109.32,16,212,121.14,111.138,1.09,-,1.5233,1 mbar at 20 C,104,Not Soluble,2.8,C7H7NO,False
4-Aminomorpholine,4319-49-7,18.05,7.48,10.98,2,2,"Flammable liquids (Category 3), Skin i...",Fluorinated Rubber,SDS Source,3.21,331.58,-,168,102.14,96.4495,1.059,-,1.4772,-,58,-,-,C4H10N2O,False
4-Decanol,2051-31-2,16.03,3.49,7.49,0,2,Flammable liquids (Category 4),Unknown,SDS Source,6.41,271.25,-11,210,158.28,193.024,0.82,-,1.432,0.0365 mmHg at 25 C,82,-,1.7,C10H22O,True
4-Ethyl Octanoic Acid,16493-80-4,16.17,4.05,8.54,0,0,"Skin irritation (Category 2), Eye irri...",Nitrile,SDS Source,8.81,307.99,-,163,172.26,190.553,0.904,-,1.439,-,100,-,0.2,C10H20O2,True
4-Ethylcyclohexanone,5441-51-0,17.38,6.36,3.96,0,2,Flammable liquids (Category 4),Unknown,SDS Source,2.95,-,-,193,126.2,141.006,0.895,-,1.4531,-,63,-,-,C8H14O,True
4-Ethylpyridine,536-75-4,17.91,5.75,4.98,2,2,"Flammable liquids (Category 3), Acute ...",Butyl Rubber,SDS Source,0.77,-,-91,164,107.15,113.747,0.942,-,1.501,0.5 mbar at 20 C,47,-,24.5,C7H9N,False
4-Heptanol,589-55-9,15.87,4.13,8.87,2,2,"Flammable liquids (Category 3), Eye ir...",Unknown,SDS Source,3.31,-,-41.5,156,116.2,143.457,0.81,-,1.4205,86.9 Pa at 20.05 C,48,-,11.6,C7H16O,True
"4-Hexen-1-ol, (4Z)-",928-91-6,16.7,5.96,11.24,0,3,Flammable liquids (Category 3),Latex/ Chloroprene/,SDS Source,5.94,-,-,159,100.16,116.873,0.857,-,1.442,-,37,-,-,C6H12O,True
4-Hexen-3-One,928-97-2,16.58,5.67,11.12,2,2,"Flammable liquids (Category 3), Eye ir...",Unknown,SDS Source,3.68,1101.32,-,155,100.16,122.595,0.817,-,1.4393,-,59,-,6.6,C6H12O,True
4-Methyl Cyclohexanol,589-91-3,17.2,6.3,12.5,0,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,0.24,66.68,-10,171,114.19,124.934,0.914,-,1.46203,2.0 hPa at 30 C,70,-,16.4,C7H14O,True
4-Methyl Thiazole,693-95-8,18.56,6.86,7.55,2,3,"Flammable liquids (Category 3),  Acute...",Unknown,SDS Source,1.16,214.78,-,133,99.15,90.9633,1.09,-,1.518,-,32,-,25.7,C4H5NS,False
4-Methyl-1-Pentanol,626-89-1,15.71,5.08,10.38,0,2,"Acute toxicity, Oral (Category 4), Fla...",Unknown,SDS Source,11.52,661.34,-,152,102.18,126.148,0.81,-,1.414,-,57,-,11.5,C6H14O,True
4-Methyl-1-Pentyne,7154-75-8,15.16,2.8,2.57,0,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,34.1,-,-104.6,61,82.14,117.679,0.698,-,1.393,-,-4,-,1260.8,C6H10,True
4-Methyl-2-Pentyne,21020-27-9,15.43,3.67,2.85,0,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,14.03,-,-110,71,82.14,114.721,0.716,-,1.4063,141 mmHg at 25 C,-5,-,514.8,C6H10,True
4-Methylcyclohexanone,589-92-4,17.57,7.01,4.43,1,2,"Flammable liquids (Category 3), Acute ...",Butyl Rubber,SDS Source,0.4,83.81,-40.6,170,112.17,122.724,0.914,-,1.4454,20 hPa at 65 C,40,-,27.2,C7H12O,True
4-Methylno-500e,17301-94-9,15.5,0.1,0.1,0,2,Flammable liquids (Category 3),Unknown,SDS Source,61.23,2546.01,-99,165.7,142.28,194.904,0.73,-,1.4123,-,44,Not Soluble,31.2,C10H22,True
4-Methylthio-4-methyl-2-pentanone,23550-40-5,16.76,5.67,3.92,0,0,None,Unknown,SDS Source,2.04,196.86,-,201,146.25,151.712,0.964,-,1.472,-,113,-,6.2,C7H14OS,False
4-Nonanol,5932-79-6,16,3.64,8.11,0,0,"Flammable liquids (Category 3), Eye ir...",Unknown,SDS Source,11.2,410.5,-,193,144.25,175.915,0.82,-,1.427,-,74,-,3.3,C9H20O,True
4-Octanol,589-62-8,15.96,3.85,8.63,0,2,Flammable liquids (Category 4),Unknown,SDS Source,22.8,1016.5,-,174,130.23,159.205,0.818,-,1.426,46.07 Pa at 25.45 C,65,-,6.4,C8H18O,True
4-Penten-1-ol,821-09-0,16.21,6.51,12.11,0,2,Flammable liquids (Category 3),Fluorinated Rubber/,SDS Source,4.52,331.58,-,141,86.13,103.273,0.834,-,1.4301,-,43,57,13.2,C5H10O,True
4-Pentenenitrile,592-51-8,16.3,11.2,5,1,0,"Acute toxicity, Inhalation (Category 4...",Unknown,SDS Source,44.99,-,12,140,81.12,99.656,0.814,-,1.4213,13.1 mmHg at 20 C,60,Not Soluble,23.3,C5H7N,False
4-Phenyl-2-Butanol,2344-70-9,17.91,4.43,9.49,0,0,None,Unknown,SDS Source,3.97,203.21,-,239,150.22,154.866,0.97,-,1.514,-,110,-,0.6,C10H14O,True
4-Phenylbut-1-Ene,768-56-9,17.45,2.26,3.32,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,7.08,-,-70,175,132.2,150.227,0.88,-,1.50748,-,60,0.0177,-,C10H12,True
4-Propylcyclohexanone,40649-36-3,17.34,5.59,3.54,2,2,"Flammable liquids (Category 4), Skin i...",Latex/ Chloroprene/,SDS Source,0.87,200.49,-,212,140.22,154.598,0.907,-,1.4514,0.23 hPa at 20 C,86,1.96,-,C9H16O,True
4-Toluylacetonitrile,2947-61-7,18.52,8.54,5.2,0,1,"Acute aquatic toxicity (Category 3), C...",Nitrile,SDS Source,1.43,-,18,242.5,131.17,132.228,0.992,-,1.5153,-,106,Not Soluble,-,C9H9N,False
"4H-1,3-Oxazine, 5,6-Dihydro-2,4,4,6-Tetramethyl-",26939-18-4,15.87,5.94,2.49,0,2,Flammable liquids (Category 3),Unknown,SDS Source,5.87,-,-,146,141.21,159.379,0.886,-,1.437,3.09 mmHg at 25 C,46,-,-,C8H15NO,False
"5-Decen-1-ol, (E)-",56578-18-8,16.48,3.86,10.6,0,2,Flammable liquids (Category 4),Unknown,SDS Source,38.33,-,0,225.3,156.27,184.935,0.845,-,1.453,0.0173 mmHg at 25 C,62,-,-,C10H20O,True
5-Hexen-2-One,109-49-9,16.17,6.42,4.7,0,3,Flammable liquids (Category 3),Unknown,SDS Source,1.74,-,-,128,98.14,116.833,0.84,-,1.419,21.3 mmHg at 25 C,23,-,78.6,C6H10O,True
5-Methyl Furfural,620-02-0,17.96,12.51,7.22,2,2,"Flammable liquids (Category 4), Skin i...",Butyl Rubber,SDS Source,0.24,67.77,-,187,110.11,100.1,1.1,-,1.5295,-,72,33.3,9,C6H6O2,True
5-Methyl Quinoxaline,13708-12-8,19.58,7.01,5.7,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,11.66,-,20,-,144.17,128.151,1.125,-,1.62,-,113,-,0.3,C9H8N2,False
5-Methyl-1-Hexyne,2203-80-7,15.33,2.63,2.59,0,3,"Flammable liquids (Category 2), Acute ...",Unknown,SDS Source,7.36,610.99,-125,92,96.17,132.102,0.728,-,1.4059,68.1 mmHg at 25 C,-7,-,398.4,C7H12,True
5-Methyl-2-(1-Methylvinyl)Cyclohexan-1-ol,7786-67-6,16.58,3.74,7.48,2,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,3.59,-,-,212,154.25,169.134,0.912,-,1.4725,-,78,0.3086,-,C10H18O,True
5-Methyl-3-Heptanol,18720-65-5,15.77,3.66,8.04,2,2,"Flammable liquids (Category 4), Eye ir...",Unknown,SDS Source,26.2,1168.91,-,156,130.23,158.817,0.82,-,1.4262,-,56.6,-,12,C8H18O,True
5-Methyl-3-Heptanone,541-85-5,15.75,4.65,2.98,1,2,"Flammable liquids (Category 3), Eye ir...",Butyl Rubber,SDS Source,0.09,81.19,-57,157,128.21,155.784,0.823,-,1.4232,3 hPa at 20 C,44,1.92,23.8,C8H16O,True
6-Amyl-?-Pyrone,27593-23-3,16.79,10.31,5.41,0,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,25.86,-,-,285,166.22,164.574,1.01,-,1.505,0.06 kPa at 20 C,146,-,0.2,C10H14O2,True
6-Methyl-2-Heptanol,4730-22-7,15.82,3.99,8.31,0,2,Flammable liquids (Category 4),Unknown,SDS Source,17.08,691.27,-105,172,130.23,158.817,0.82,-,1.422,-,67,-,5.6,C8H18O,True
6-Methyl-2-Heptylamine,543-82-8,15.74,2.89,4.97,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,4.65,238.14,25,154,129.24,168.501,0.767,-,1.425,-,49,-,-,C8H19N,False
6-Methylquinoline,91-62-3,19.43,4.85,5.26,2,1,"Skin irritation (Category 2), Acute to...",Butyl Rubber,SDS Source,2.06,-,-22,256,143.19,134.704,1.063,-,1.6125,-,113,-,0.7,C10H9N,False
?-Hexalactone,695-06-7,16.55,9.85,5.88,2,1,Eye irritation (Category 2A),Unknown,SDS Source,0.44,67.59,-18,215.5,114.14,111.574,1.023,-,1.4495,0.2 mmHg at 25C,98,-,4.2,C6H10O2,True
?-Methyl Cinnamic Alcohol,1504-55-8,18.43,4.36,10.08,2,1,Eye irritation (Category 2A),Unknown,SDS Source,12.5,1086.81,-,288,148.21,143.893,1.03,-,1.572,-,113,-,0.4,C10H12O,True
Abhexone,698-10-2,16.53,8.58,11.27,0,1,None,Unknown,SDS Source,4.19,1000.17,31,316.4,142.15,125.353,1.134,-,1.49,0.00085 kPa at 23 C,113,-,1.2,C7H10O3,True
Acetaldoxime,107-29-9,16.3,4,20.2,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,1.3,-,45,115,59.07,60.9598,0.969,-,1.42567,17 hPa at 25 C,40,-,29.6,C2H5NO,False
Acetol,116-09-6,17.4,12.82,16.47,1,2,Flammable liquids (Category 3),Nitrile,SDS Source,0.2,47.17,-17,145,74.08,68.4658,1.082,1.592,1.425,7.5 hPa at 20 C,56,-502,7.6,C3H6O2,True
Acetonitrile-D3,2206-26-0,17.3,20.26,16.65,2,0,"Flammable liquids (Category 2), Acute ...",Butyl Rubber,SDS Source,11.33,691.73,-46,80.7,44.07,52.2156,0.844,-,1.341,119.81 hPa at 25 C,2,-502,-,CD3CN,False
Acetyl Butyryl,3848-24-6,16.72,11.1,5.6,2,3,Flammable liquids (Category 3),Butyl Rubber,SDS Source,1.71,115.21,-,128,114.14,122.206,0.934,-,1.412,10 mmHg at 20 C,28,-,15.6,C6H10O2,True
Acetyl Tetralin,774-55-0,19.03,5.71,1.1,1,1,"Acute toxicity, Oral (Category 4), Acu...",Unknown,SDS Source,4.13,514.83,-,312,174.24,167.7,1.039,-,1.562,0.18 hPa at 25 C,110,0.102,0.2,C12H14O,True
Allyl Acetoacetate,1118-84-9,15.9,6.9,8.6,2,2,"Flammable liquids (Category 4), Acute ...",Chloroprene/ Butyl,SDS Source,0.32,-,-85,196,142.15,137.078,1.037,1.62,1.438,1 hPa at 20 C,67,48,3.8,C7H10O3,True
Allyl Butyrate,2051-78-7,15.99,4.21,5.4,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,0.1,13.96,-80,147.3,128.17,142.095,0.902,-,1.395,4.44 mmHg at 25 C,42,Not Soluble,37.8,C7H12O2,True
Allyl Caproate,123-68-2,16.09,3.64,5.01,2,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,0.15,10.94,-,184,156.22,176.122,0.887,-,1.4243,-,66,0.06,7.7,C9H16O2,True
Allyl Cinnamate,1866-31-5,17.88,3.42,5,1,1,"Acute toxicity, Oral (Category 4)",Unknown,SDS Source,1.5,169.64,-,289.9,188.22,178.746,1.053,-,1.53,0.003 mmHg at 20 C,113,Not Soluble,0.2,C12H12O2,True
Allyl Cyanoacetate,13361-32-5,16.82,10.7,7.9,2,1,"Acute toxicity, Oral (Category 3)",Nitrile,SDS Source,1.12,38.15,-40,479,125.13,117.493,1.065,-,1.4393,0.05 hPa at 20 C,91,20,-,C6H7NO2,False
Allyl Phenoxyacetate,7493-74-5,17.77,4.97,6.23,2,0,"Acute toxicity, Oral (Category 4), Acu...",Unknown,SDS Source,0.32,64.82,-,266,192.21,174.419,1.102,-,1.524,-,113,-,0.2,C11H12O3,True
Allyl Phenyl Acetate,1797-74-6,17.61,3.67,5.23,2,1,"Acute toxicity, Oral (Category 4), Acu...",Unknown,SDS Source,1.17,139.25,-,240,176.21,169.433,1.04,-,1.507,-,100,-,0.6,C11H12O2,True
Allyl Phenyl Ether,1746-13-0,17.84,4.2,4.93,0,2,Flammable liquids (Category 4),Unknown,SDS Source,1.05,102.97,-,192,134.18,138.33,0.97,-,1.5196,0.7 mbar at 20 C,62,Not Soluble,4.9,C9H10O,True
alpha-Acetylbutyrolactone,517-23-7,17.56,12.97,7.28,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,0.22,35.38,-,253,128.13,107.672,1.19,-,1.459,0.0186 mmHg at 25 C,113,310,-,C6H8O3,True
Amyl Isovalerate,25415-62-7,15.77,3.12,4.21,0,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,8,117.48,-,78,172.26,200.769,0.858,-,1.412,-,69,Not Soluble,6.6,C10H20O2,True
Anisole,100-66-3,17.8,4.4,6.9,1,2,"Flammable liquids (Category 3),  Acute...",Nitrile,SDS Source,0.06,14.32,-37.5,153.7,108.14,108.683,0.995,5.1,1.5171,3.510 mmHg at 25 C,43,1.71,17.063,C7H8O,True
Bean Pyrazine,25773-40-4,17.5,7.97,5.19,2,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,37.9,-,-,189,152.2,152.811,0.996,-,1.494,0.006 kPa at 20 C,67,-,1,C8H12N2O,False
Bis(1-Methylethyl)-Dimethoxysilane,18230-61-0,13.41,1.96,1.36,3,2,"Flammable liquids (Category 3), Skin i...",Nitrile,SDS Source,4.11,136.53,-72,164,176.33,201.52,0.875,1,1.414,< 10 mmHg at 25 C,43,Not Soluble,-,C8H20O2Si,False
Bis(Cyanoethyl) Ether,1656-48-0,16.81,16.69,7.63,1,1,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,1.7,-,-26,312,124.11,118.993,1.043,9.8,1.441,0.000488 mmHg at 25 C,110,-,0.1,C6H8N2O,False
Bis(Trimethylsilyl)Acetylene,14630-40-1,13.44,2.1,1.48,2,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,2.8,336.57,26,136,170.4,226.596,0.752,-,1.427,200 mmHg at 20 C,2,Not Soluble,-,C8H18Si2,False
Bis[2-(2-butoxyethoxy)ethyl] Adipate,141-17-3,16.08,4.27,5.27,0,0,None,Unknown,SDS Source,0.11,33.57,-47,240,434.56,430.257,1.01,-,1.448,-,113,-,0,C22H42O8,True
Bread Thiophene,13679-70-4,18.9,12.52,8.13,0,2,Flammable liquids (Category 4),Nitrile,SDS Source,2.82,-,-,218.3,126.18,106.932,1.18,-,1.5742,-,87,-,2.9,C6H6OS,False
Butoxypropanol,29387-86-8,15.99,5.68,9.85,2,2,"Flammable liquids (Category 3), Skin i...",Nitrile,SDS Source,0.05,16.78,-,171,132.2,149.379,0.885,3.1,-,-,59,55,-,C7H16O2,True
Butyl Hexanoate,626-82-4,16.02,3.31,4.47,0,2,Flammable liquids (Category 4),Nitrile,SDS Source,0.25,29.14,-64.3,208,172.26,198.915,0.866,-,1.4011,-,81,-,5,C10H20O2,True
Butyl Lactate,138-22-7,15.8,6.5,10.2,2,2,"Flammable liquids (Category 4), Skin i...",Nitrile,SDS Source,0.13,10.74,-28,186,146.18,148.557,0.984,-,1.4217,0.4 mmHg at 20 C,69,-,2.2,C7H14O3,True
Butyl Laevo-Lactate,34451-19-9,16.62,6.23,11.59,2,2,Flammable liquids (Category 4),Nitrile/ Butyl Rubb,SDS Source,0.1,29.18,-28,185,146.18,148.557,0.984,3.58,1.4216,0.4 mmHg at 20 C,69,42,2.2,C7H14O3,True
Butyl Laurate,106-18-3,16.05,2.58,3.16,0,1,None,Unknown,SDS Source,0.14,52.05,-10,265,256.42,299.906,0.855,-,1.4351,0.0002 kPa at 25 C,113,Not Soluble,0.1,C16H32O2,True
Butyl Myristate,110-36-1,16.07,2.13,2.89,0,1,Skin irritation (Category 2),Unknown,SDS Source,2.78,134.26,-,332,284.48,330.791,0.86,-,1.438,-,166,-,0.1,C18H36O2,True
Butyl Oleate,142-77-8,16.3,3.7,4.2,1,1,None,Unknown,SDS Source,2,6.8,-26.5,227,338.64,389.062,0.8704,-,1.448,-,150,Not Soluble,0,C22H42O2,True
Butyl Salicylate,2052-14-4,17.9,4.8,11.7,2,0,"Acute toxicity, Oral (Category 4), Ski...",Nitrile/ Butyl Rubb,SDS Source,0.21,39.46,-5.9,271,194.23,179.843,1.08,-,1.5138,-,134,Not Soluble,0.5,C11H14O3,True
Butyl Stearate,123-95-5,14.5,3.7,3.5,0,1,None,Nitrile,SDS Source,0.06,8.62,22,343,340.58,395.563,0.861,-,1.443,-,160,Not Soluble,0,C22H44O2,True
Butyl Valerate,591-68-4,15.99,3.5,4.63,0,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,1.08,125.82,-92.8,185.8,158.24,182.304,0.868,-,1.416,0.608 mmHg at 25 C,67,-,11.8,C9H18O2,True
Butylal,2568-90-3,15.66,4.2,4,0,2,Flammable liquids (Category 4),Unknown,SDS Source,5.46,438.62,-58.1,180.5,160.25,191.916,0.835,1.083,1.406,< 20 hPa at 20 C,62,0.25,-,C9H20O2,True
Canola Oil,120962-03-0,16.64,1.71,4.13,0,0,None,Unknown,SDS Source,1,5.47,-,-,879.38,955.848,0.92,77.3,1.465,-,260,Not Soluble,-,C57H98O6,True
Caryophyllene,87-44-5,16.66,0.89,2.61,0,1,"Skin irritation (Category 2), Eye irri...",Nitrile,SDS Source,1.58,328.59,25,263,204.35,225.179,0.901,-,1.4997,-,96,-,2.8,C15H24,True
Cinmethylin,87818-31-3,17.75,3.42,2.27,1,1,"Acute toxicity, Inhalation (Category 4...",Unknown,SDS Source,-,562.91,25,313,274.4,270.611,1.014,-,1.5098,-,147,-,0.1,C18H26O2,True
Cinnamyl Acetate,103-54-8,18,3.76,5.47,2,1,Eye irritation (Category 2A),Nitrile,SDS Source,0.17,39.6,30,263,176.21,167.979,1.049,-,1.5477,0.012 mm Hg at 25 C,113,Not Soluble,0.4,C11H12O2,True
Cinnamyl Nitrile,4360-47-8,18.65,8.12,5.29,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,1.16,89.81,20,260,129.16,125.642,1.028,-,1.5948,-,110,Not Soluble,0.3,C9H7N,False
"Cis, Trans, Trans-1,5,9-Cyclododecatriene",706-31-0,17.55,3.22,4.98,1,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,0.28,39.46,-18,231,162.27,182.326,0.89,5.32,1.5058,1.33 hPa at 20 C,73,0.4,-,C12H18,True
"Cis-1,3-Dimethylcyclohexane",638-04-0,16,0.1,0.1,0,3,Flammable liquids (Category 2),Unknown,SDS Source,14.71,388.27,-75.6,120.1,112.21,143.125,0.784,-,1.43085,54.0 hPa at 37.7 C,6,-,624.2,C8H16,True
"Cis-2-Butene-1,4-Diol",6117-80-2,18.08,10.41,21.35,2,1,"Acute toxicity, Oral (Category 4), Acu...",Nitrile,SDS Source,0.11,30.62,4,235,88.11,82.1922,1.072,-,1.4782,-,127,619,0.3,C4H8O2,True
Cis-2-Heptene,6443-92-1,15.79,1.85,2.84,0,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,30.94,1061.41,-,98,98.19,138.686,0.708,-,1.4052,116 hPa at 7.7 C,-6,-,331.6,C7H14,True
Cis-2-Hexene,7688-21-3,15.59,1.98,3.2,2,3,"Flammable liquids (Category 2), Skin i...",Nitrile,SDS Source,14.41,1236.49,-141.1,68,84.16,125.8,0.669,-,1.3965,-,-25,-,784,C6H12,True
cis-3-Octen-1-ol,20125-84-2,16.6,4.6,10.8,0,2,Flammable liquids (Category 4),Unknown,SDS Source,3.04,-,-,174,128.22,150.847,0.85,-,1.4482,-,82,-,2.4,C8H16O,True
Cis-4-Methylcyclohexanol,7731-28-4,16.93,4.99,10.07,2,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,25.98,817.83,-9.2,172,114.19,124.526,0.917,-,1.458,-,70,-,16.4,C7H14O,True
cis-6-Nonenol,35854-86-5,16.5,4.4,8.8,0,2,Flammable liquids (Category 4),Nitrile,SDS Source,7.34,-,-,201.027,142.24,167.341,0.85,-,1.449,-,93,-,1.1,C9H18O,True
Cis-Stilbene,645-49-8,18.89,1.89,3.7,2,1,None,Nitrile,SDS Source,11.26,524.35,-5,307,180.25,178.289,1.011,-,1.6212,0.00686 mmHg at 25 C,110,-,0.2,C14H12,True
Cistus Cyclohexanone,2408-37-9,16.71,4.93,2.29,0,2,Flammable liquids (Category 3),Unknown,SDS Source,30.92,-,-31.8,178.5,140.23,155.811,0.9,-,1.449,0.986 mmHg at 25 C,51,-,22.5,C9H16O,True
Cocoa Butenal,4411-89-6,18.32,5.85,4.78,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,4.57,939.39,-,233,146.19,141.383,1.034,-,1.561,-,106,-,1.6,C10H10O,True
Cocoa Hexenal,21834-92-4,17.44,4.77,3.51,0,1,"Skin irritation (Category 2), Eye irri...",Nitrile,SDS Source,2.53,246.98,-,290,188.27,193.494,0.973,-,1.534,0.004 mmHg at 20 C,113,Not Soluble,0.5,C13H16O,True
Coriander Heptenol,1569-60-4,16.57,4.38,9.19,1,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,2.33,1160.29,-,175,128.21,151.908,0.844,-,1.448,-,68,-,3.8,C8H16O,True
Corn Oil,8001-30-7,16.5,1.6,3.13,0,1,None,Nitrile,SDS Source,0.04,13.6,-11,160,883.41,981.567,0.9,-,1.4719,-,254,Not Soluble,-,C57H102O6,True
Cyclodecane,293-96-9,16.8,0.1,0.1,0,2,Flammable liquids (Category 4),Unknown,SDS Source,47.6,1287.29,10,202,140.27,161.045,0.871,-,1.4715,-,65,Not Soluble,12.8,C10H20,True
Cyclododecene,1501-82-2,16.99,1.39,3.05,2,2,"Skin Corrosion/irritation Category 2, ...",Unknown,SDS Source,1.88,115.21,-9,245,166.3,192.7,0.863,-,1.4849,9.88 * 10^(-8) mmHg at 25 C,94,Not Soluble,-,C12H22,True
Cycloheptene,628-92-2,16.79,2.18,3.44,0,3,Flammable liquids (Category 2),Unknown,SDS Source,11.49,-,-56,112,96.17,116.711,0.824,-,1.458,-,-7,-,181.3,C7H12,True
Cyclohexanethiol,1569-69-3,17.51,3.84,4.52,3,2,"Flammable liquids (Category 3), Acute ...",Nitrile/ Fluorinate,SDS Source,0.65,-,-30,160,116.22,122.337,0.95,1.69,1.4921,5 mbar at 20 C,49,Not Soluble,65.6,C6H12S,False
Cyclohexyl Acetate,622-45-7,16.95,3.92,5.38,2,2,Flammable liquids (Category 3),Butyl Rubber,SDS Source,0.1,15.97,-65,173,142.2,147.205,0.966,2.27,1.442,20 hPa at 20 C,58,2,12.7,C8H14O2,True
Cyclohexyl Carbinol,100-49-2,17.19,4.78,10.69,0,2,Flammable liquids (Category 4),Nitrile/ Butyl Rubb,SDS Source,0.92,62.6,-43,183,114.19,123.05,0.928,-,1.4654,0.254mmHg at 25 C,77,Not Soluble,4.1,C7H14O,True
